ARO Accession	CVTERM ID	Model Sequence ID	Model ID	Model Name	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	GeneID	Counts
ARO:3000780	37160	5374	1471	adeI	adeI	ACJ41739.1	CP001182.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	8695_1	10
ARO:3000781	37161	1	630	adeJ	adeJ	AAX14802.1	AY769962	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	182_1	12
ARO:3002873	39307	418	1460	FosB3	FosB3	ADX95999.1	HQ219726	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	7139_1	3
ARO:3002921	39355	3453	141	vanRB	vanRB	AAB05622.1	U35369	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration	13001_1	7
ARO:3002932	39366	3454	499	vanSB	vanSB	AAB05623.1	U35369	glycopeptide resistance gene cluster;vanS	glycopeptide antibiotic	antibiotic target alteration	12458_1	6
ARO:3003693	40341	4651	2206	mexK	MexK	AAG07064.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux	13517_1	10
ARO:3003693	40341	4651	2206	mexK	MexK	AAG07064.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux	4695_1	1
ARO:3003980	40861	3853	2517	tetA(48)	tetA(58)	APB03214.1	KX531044.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	15025_1	10
ARO:3003981	40863	3854	2518	tetB(48)	tetB(58)	APB03215.1	KX531045.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	5360_1	1
ARO:3004480	41743	5874	2914	Bifidobacterium adolescentis rpoB conferring resistance to rifampicin	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	WP_041777404.1	NC_008618.1	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement	11223_1	7
ARO:3004480	41743	5874	2914	Bifidobacterium adolescentis rpoB conferring resistance to rifampicin	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	WP_041777404.1	NC_008618.1	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement	12573_1	4
ARO:3004480	41743	5874	2914	Bifidobacterium adolescentis rpoB conferring resistance to rifampicin	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	WP_041777404.1	NC_008618.1	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement	13872_1	13
ARO:3004480	41743	5874	2914	Bifidobacterium adolescentis rpoB conferring resistance to rifampicin	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	WP_041777404.1	NC_008618.1	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement	3473_1	4
ARO:3004480	41743	5874	2914	Bifidobacterium adolescentis rpoB conferring resistance to rifampicin	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	WP_041777404.1	NC_008618.1	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement	6698_1	3
ARO:3004661	42703	5545	3362	Staphylococcus aureus FosB	Staphylococcus aureus FosB	EHS19134.1	AHLO01000073.1	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	7139_1	3
ARO:3004670	42717	5554	3369	FosB1	FosB1	BAE05988.1	AP006717.1	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	7139_1	3
ARO:3004671	42719	5555	3370	FosB4	FosB4	ALM24139.1	KR870311.1	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	7139_1	3
ARO:3004672	42720	5556	3371	FosB5	FosB5	ALN12426.1	KT032253.1	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	7139_1	3
ARO:3004673	42721	5557	3372	FosB6	FosB6	ALM24145.1	KR870314.1	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	7139_1	3
ARO:3004674	42722	5558	3373	FosD	FosD	BAG12271.1	AB304512.1	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	7139_1	3
ARO:3005100	43315	6144	3832	FosB2	FosB2	AAP27834.1	AE016879.1	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	7139_1	3
